Puzzle,Category,Date
WEIGHING OPTIONS,What Are You Doing?,3/30/17
OUT OF YOUR COMFORT ZONE,Phrase,3/31/17
WORKING OUT THE KINKS,What Are You Doing?,4/3/17
YOU READ MY MIND,Phrase,4/4/17
APPROVING NOD,Thing,4/5/17
CHOOSE WISELY,Phrase,4/6/17
EXCLUSIVE OFFER,Thing,4/7/17
BUNDLE UP,Phrase,4/10/17
AMONG OTHER THINGS,Phrase,4/11/17
VICTORY DANCE,Thing,4/12/17
FIX IT UP,Phrase,4/13/17
A PIECE OF ADVICE,Thing,4/14/17
HARD WORK,Thing,4/17/17
WAY OVER YONDER,Phrase,4/18/17
VINTAGE BOUTIQUE,Place,4/19/17
HARMONICA PLAYER,Person,4/20/17
FLICKERING BULB,Thing,4/21/17
MAJOR IMPACT,Thing,4/24/17
JOIN THE PARTY,Phrase,4/25/17
GOOD QUESTION,Thing,4/26/17
INFORMATION OVERLOAD,Phrase,4/27/17
POISED TO WIN,Phrase,4/28/17
VIVID COLOR,Thing,5/1/17
JUST A QUICK PEEK,Phrase,5/2/17
PUFFY CHEEKS,Things,5/3/17
MY FAVORITE HANDBAG,Thing,5/4/17
PAVED ROADWAY,Thing,5/5/17
PROM GOWN,Thing,5/8/17
BACK AT WORK,Phrase,5/9/17
HOT PROPERTY,Thing,5/10/17
BUFFALO AND ITHACA,On the Map,5/11/17
MOVE FORWARD,Phrase,5/12/17
PACKAGE DEAL,Thing,5/15/17
THE UPPER HAND,Phrase,5/16/17
WALK ON BY,Phrase,5/17/17
GO WITH YOUR FIRST CHOICE,Phrase,5/18/17
OUT OF FOCUS,Phrase,5/19/17
PATCHWORK,Thing,5/22/17
BOUQUET,Thing,5/23/17
VERY THICK FOG,Thing,5/24/17
YOU HAVE MY WORD,Phrase,5/25/17
BEFORE DAWN,Phrase,5/26/17
OVERCOMING OBSTACLES,What Are You Doing?,5/29/17
HEAR US OUT,Phrase,5/30/17
VACUUM BAGS,Things,5/31/17
ON OUR BEHALF,Phrase,6/1/17
JUICY PEACH,Food &amp; Drink,6/2/17
OFFBEAT APPROACH,Thing,6/5/17
HUGE FAVOR,Thing,6/6/17
WICHITA AND TOPEKA,On the Map,6/7/17
AWKWARD MOMENT,Thing,6/8/17
BEYOND COMPARE,Phrase,6/9/17
UNPACKING BAGS,What Are You Doing?,9/11/17
HOUSE PARTY,Event,9/12/17
GOLD ALBUM,Show Biz,9/13/17
BROWSING AROUND,What Are You Doing?,9/14/17
ANCIENT AZTECS,People,9/15/17
A GROUP OF KIDS,People,9/18/17
PLAYFUL GREYHOUND,Living Thing,9/19/17
EVIL WIZARD,Character,9/20/17
BROWN CORDUROY,What Are You Wearing?,9/21/17
DOG GROOMER,Occupation,9/22/17
JOB PROMOTION,Event,9/25/17
YOUNG HOBBIT,Character,9/26/17
FRESH PAPAYA,Food &amp; Drink,9/27/17
PIZZA PARLOR,Place,9/28/17
CITRUS JUICER,In the Kitchen,9/29/17
BAKED YAMS,Food &amp; Drink,10/2/17
BOLD CONCEPT,Thing,10/3/17
ORGANIC YOGURT,Food &amp; Drink,10/4/17
